ð ə; the
g ˈ oʊ l; goal gohl
b ɪ l ˈ oʊ; belleau below
w ˈ ɪ n ɪ ŋ; winning
ˈ ɔ f ə s ɝ; officer
f ˈ ɔ ɹ ə n; foran foreign
d͡ʒ ˈ ɛ n ɝ ə l i; generally
ˌ ɑ p ɝ ˈ eɪ ʃ ə n; operation
ɹ ˈ ʌ n z; run's runs
m ˈ ɛ d ə l; medal meddle medel
t͡ʃ ˈ eɪ n d͡ʒ d; changed
t ˈ eɪ k ɪ ŋ; taking
n ˈ ɑ v ə l; novel
s t ˈ æ f; staff staph
s ə g n ˈ ɪ f ɪ k ə n t; significant
ɹ ˈ i l; real reel riehl riel
s t ˈ æ n d ɝ d; standard
f ˈ ɑ ɹ; fahr far farr pfarr phar pharr
l ˈ ɪ m ə t ə d; limited
t ɹ ə d ˈ ɪ ʃ ə n ə l; traditional
ˈ æ f ɹ ə k ə n; african
k ˈ ʌ m; come cum kumm
ˌ ɪ n ˈ ɪ ʃ ə l i; initially
ˌ ɪ t s ˈ ɛ l f; itself
l oʊ k ˈ eɪ ʃ ə n; location
k ə m ˈ ɪ ʃ ə n; commission
ɹ ˈ oʊ m ə n; rohman roman romann
m ˈ i; me mea mee mi
ˈ ɑ ɹ t ə s t; artist
k ɹ ˈ ɪ s t͡ʃ ə n; christian
p l ˈ eɪ z; play's plays
m ˈ ʌ n i; money
p ˈ ɑ ɹ l ə m ə n t; parliament
f ˈ u d; food
h ˈ ɪ t; hit hitt
g ˈ ʌ v ɝ n ɝ; governor
l ˈ oʊ; lo loe loh low lowe
d ɪ f ˈ i t ə d; defeated
ˈ ɛ n ɝ d͡ʒ i; energy
s t ˈ u d ə n t; student
s t ɹ ˈ ɔ ŋ; strong
t ə w ˈ ɔ ɹ d z; towards
n ˈ oʊ t ə b ə l; notable
t͡ʃ ˈ aɪ l d; child
ə s ˈ ɛ m b l i; assembly
ˈ oʊ n d; owned
k ˈ æ θ l ɪ k; catholic
k ˈ ɔ ɹ s; 'course coarse corse course
k ə m ˈ ɝ ʃ ə l; commercial commerical
ʃ ˈ ɪ p; ship shipp
f aʊ n d ˈ eɪ ʃ ə n; foundation
t͡ʃ ˈ æ n ə l; channel channell
ə l ˈ aʊ d; allowed aloud
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ɪ d; represented
p ɹ ˈ ɑ p ɝ t i; property
p l ˈ eɪ s ə z; places
n ˈ eɪ v i; navy
j ˈ u n ə t; unit
ˈ ɛ n d ə d; ended
ˈ æ n j u ə l; annual
k ə m ˈ æ n d; command
p ˈ ɛ ɹ ɪ s; paris paris' parris
l ˈ aɪ b ɹ ɛ ɹ ˌ i; library
k ˈ ʌ m p ə n ˌ i z; companies companies'
h ˈ u m; whom
m ˈ ɛ t; met mette
ˈ ɛ v ɝ; ever
æ k t ˈ ɪ v ə t i z; activities
s p ˈ ɛ n t; spent
p l ˈ æ n; plan
n ˈ u m ɝ ə s; numerous
b l ˈ u; bleu blew blue
ˈ ɝ l i ɝ; earlier
m ˈ i n z; means means'
h ˈ aɪ w ˌ eɪ; highway hiway
d ɹ ˈ aɪ v; dr dr. drive
ɹ i k w ˈ aɪ ɝ d; required
m j ˈ u z ɪ k ə l; musical
ə d ˈ ɪ ʃ ə n ə l; additional
p ɹ ˈ æ k t ə s; practice
b ˈ ɪ l; bihl bil bill
n ˈ oʊ t ə d; noted
m ˈ aʊ n t ə n; mountain
ˈ ɛ ɹ p ˌ ɔ ɹ t; airport
ˈ aɪ ɝ l ə n d; ireland
p l ˈ æ n t; plant plante
s ɪ k j ˈ ʊ ɹ ə t i; security
ˈ ɪ n k ˌ ʌ m; income
ˈ ɪ ʃ u z; issue's issues
ə s ˈ oʊ s i ˌ eɪ t ɪ d; associated
m ˈ æ n ə d͡ʒ ɝ; manager
ˈ ɑ ɹ t ɪ s t s; artists artists'
ɹ ɪ l ˈ eɪ t ɪ d; related
ˈ æ k s ˌ ɛ s; access
b ɹ ˈ aʊ n; brown browne
ɹ ˈ ʌ n ɪ ŋ; running
p ˈ i t ɝ; peter pieter
ˌ ɪ n d ə v ˈ ɪ d͡ʒ ə w ə l; individual
ɹ ˈ ɪ t͡ʃ ɝ d; richard richerd
ˈ oʊ l d ɝ; older
v ˈ ɪ k t ɝ i; victory
ˈ oʊ p ə n ɪ ŋ; opening
p ɹ ˈ oʊ g ɹ ˌ æ m z; program's programs programs'
p ˈ æ s t; passed past
ɹ i p ˈ ɔ ɹ t; report
s ˈ aʊ n d; sound
p ɹ ˈ ɛ s; press press' presse
w ˈ ʊ m ə n; woman
f ˈ aɪ n ə l i; finally
f ˈ aɪ n d; find fined
b ˈ æ k g ɹ ˌ aʊ n d; background
p ˈ ɑ l ə s i; policy
ˈ aʊ ɝ; auer hour our
j ˈ u θ; youth
f ə n ˈ æ n ʃ ə l; financial
d ˈ eɪ t; date
ɪ g z ˈ ɛ k j ə t ɪ v; executive
l ˈ ɔ n t͡ʃ t; launched
s ˈ oʊ v i ə t; soviet
æ d m ˌ ɪ n ɪ s t ɹ ˈ eɪ ʃ ə n; administration
h ɪ s t ˈ ɔ ɹ ɪ k ə l; historical
k l ˈ oʊ z d; closed
h ˈ i ɹ; hear here
m ˈ ɑ ɹ k; marc mark marke marque
k ˈ æ p t ə n; captain kapton
b ˈ æ s k ə t b ˌ ɔ l; basketball
l ˈ ɪ v d; lived
ɹ ˈ æ n; rahn ran ranh rann
b ˈ ɛ t ɝ; better bettor
f ˈ eɪ m ə s; famous
k ə n t ˈ eɪ n z; contains
ʃ ə k ˈ ɑ g ˌ oʊ; chicago
s ˈ ʌ b s ə k w ə n t l i; subsequently
m ˈ u v; move
s ə l ˈ ɛ k t ɪ d; selected
ɔ l ɹ ˈ ɛ d i; already
l ˈ i g ə l; legal
ɹ ˈ ʊ ɹ ə l; rural
ɹ ɪ l ˈ ɪ d͡ʒ ə s; religious
s t ˈ ʌ d i d; studied
ˈ ɛ n t ɝ d; entered
k ˈ ʌ l t͡ʃ ɝ ə l; cultural
l ˈ aɪ n z; line's lines lines' lynes
p ˈ ɝ s ə n; person persson
t ˈ ɛ s t; test
ə p ˈ ɪ ɹ ə n s; appearance
k ə m p l ˈ i t; complete
ˌ ɪ n k ɹ ˈ i s t; increased
ɹ ˈ ɛ s t; rest wrest
m ˈ ɛ n z; men's mens menz menze
z ˈ i l ə n d; zealand zeeland
s ˈ ɛ k ɹ ə t ˌ ɛ ɹ i; secretary
k ˈ ɑ m p l ɛ k s; complex
s ˈ i t; seat
t͡ʃ ˈ eɪ n d͡ʒ ə z; changes
m ˈ æ t͡ʃ ə z; matches matsch's
m ə d͡ʒ ˈ ɔ ɹ ə t i; majority
ɹ ˈ u m; reaume rheaume room roome
l ˈ ɔ s; loss
t ˈ ɝ m z; term's terms
ɹ ˌ i v j ˈ u; review
ˈ ɛ m p aɪ ɝ; empire
m ˈ ɪ ʃ ə n; mission
v ɝ d͡ʒ ˈ ɪ n j ə; virginia
ˈ æ n d͡ʒ ə l ɪ s; angeles
oʊ l ˈ ɪ m p ɪ k s; olympic's olympics olympics'
ˈ ɪ t ə l i; italy
h ˈ aɪ ə s t; highest
s t ˈ eɪ d i ə m; stadium
b ɪ k ˈ ʌ m ɪ ŋ; becoming
g ˈ oʊ l z; goals goelz golz
s t ˈ ɑ ɹ t ɪ ŋ; starting
w ˈ aɪ d; why'd wide wyden
k ˈ æ ɹ ə k t ɝ z; characters
ɹ ˈ aɪ t ɝ; reiter reitter righter riter writer
p ˌ ɑ ɹ t ˈ ɪ k j ə l ɝ l i; particularly
f ˈ æ k t; fact
m ˈ oʊ s t l i; mostly
m ˈ ɛ k s ə k ˌ oʊ; mexico
θ ˈ ɔ t; thought
ˈ aʊ ɝ z; hour's hours ours
s t ˈ oʊ n; stone
ɹ ɪ t ˈ aɪ ɹ d; retired
ɹ ə k ˈ ɔ ɹ d ɪ ŋ; recording
g ˈ oʊ ɪ ŋ; going
g ˈ ɪ v; give
f ˈ i t͡ʃ ɝ; feature
k ɹ ˈ ɔ s; cros cross krause krausse kross
s m ˈ ɪ θ; smith
ˈ ɔ θ ɝ; auther author
ˈ ɑ p ɝ ˌ eɪ t ə d; operated
s ˈ ɝ; sir sur
ɹ ˈ i s ə n t; recent
s t ˈ æ t ə s; status
t͡ʃ ˈ ɑ ɹ t; chart
θ ˈ ɪ ɹ i; theory thiery thiry
g ɹ ˈ i k; greek
ˈ aɪ l ə n d z; island's islands
k ˈ ɑ z d; caused
ɪ n t ˈ aɪ ɝ; entire
g ˈ ɑ t; got gott
ɹ ɪ m ˈ eɪ n z; remains
n ˈ aɪ n; nine
ˈ ɛ n d͡ʒ ə n; engine
s ˈ ɔ ɹ s; sorce source
d͡ʒ ˈ i n ə s; genus
f ˈ ɔ ɹ s t; forced forst
ˈ ɪ ʃ u; issue
s ˈ ɪ ŋ g ə l z; singles
ˈ ɛ v ə d ə n s; evidence
m ˈ i t ɪ ŋ; meeting
k ˈ ɑ ŋ g ɹ ə s; congress
p ˈ ɔ ɹ t; port porte
v ɝ ˈ aɪ ə t i; variety
p ˌ ɛ n s ə l v ˈ eɪ n j ə; pennsylvania
f ˈ ɔ ɹ ə s t; forest forrest
l ˈ ɔ ɹ d; lord
j ˈ u s ə z; uses
p ɝ t ˈ ɪ k j ə l ɝ; particular
k ˈ i; kea kee key ki kyi qi quai quay qui
s ə p ˈ ɔ ɹ t ɪ d; supported
w ˈ ɝ d; word
k ɹ i ˈ eɪ t; create
ɹ i l ˈ eɪ ʃ ə n ʃ ˌ ɪ p; relationship
ˈ oʊ v ɝ ˌ ɔ l; overall
h ˈ æ n d; hand
d ˌ ɛ m ə k ɹ ˈ æ t ɪ k; democratic
s ˈ ɝ t ə n; certain
k ˈ æ s ə l; cassel castle kasel kasell kassel kastle
b aɪ ˈ ɑ g ɹ ə f i; biography
n ˈ eɪ t͡ʃ ɝ; nature
m ˈ ɛ ɹ i; marry mary merrie merry
n ˈ eɪ m z; name's names
f ˈ ɔ ɹ t; foret fort
p ˈ æ ɹ ɪ ʃ; parish
d ɪ s ˈ ɪ ʒ ə n; decision
s ˈ ɝ v ɪ ŋ; serving
s k ˈ ɔ ɹ; scor score
k ˈ ʌ v ɝ; cover
w ˈ eɪ l z; wailes wails wales wales' whale's whales
s ˈ ɪ ŋ ɝ; singer
n ˈ i d; knead kneed nead need nied
m ə t ˈ ɪ ɹ i ə l; material
ʃ ˈ oʊ n; schoen schone shone shown
f l ˈ ɔ ɹ ə d ə; florida
ˈ ʌ p ɝ; upper
ɹ ə f ˈ ɝ d; referred
l ˈ ɑ ɹ d͡ʒ ɝ; larger
m ˈ ɛ ɹ ɪ d͡ʒ; marriage
l ˈ ɛ ŋ k θ; length
l ˈ i v ɪ ŋ; leaving
w ˈ i k s; weaks week's weekes weeks weeks'
m ˈ u v i; movie
ɹ ˈ eɪ z d; raised razed
ɹ ˈ eɪ t; rait raitt rate
d͡ʒ ˈ ʌ s t ə s; justice justus
f ˈ ɔ l; fall faul faull
ˈ ɔ l w ˌ eɪ z; always
m ˈ ɪ n ə t s; minute's minutes minutes'
d͡ʒ ˈ u n j ɝ; jr junior
k ə m p ˈ i t ɪ d; competed
s t ˈ eɪ ʃ ə n z; station's stations stations'
t ˈ ɝ n; turn
ˈ aɪ ɹ ɪ ʃ; irish
t ˈ ɛ m p ə l; tempel temple
k ˈ eɪ s ə z; cases
ˈ ɛ ɹ ə; era erra
ˌ ɪ n d ə v ˈ ɪ d͡ʒ ə w ə l z; individual's individuals
t ˈ aʊ n ʃ ɪ p; township
k l ˈ eɪ m d; claimed
f ɹ ˈ ɛ n d z; friend's friends friends'
v ˈ æ n; van vann
ˈ ɝ n d; earned
f ˈ eɪ l d; failed
s ˈ ɪ s t ɝ; sister
d ˈ i l; deahl deal deale deel diehl diel
ˌ ɪ n k ɹ ˈ i s; increase
h ˈ ɛ l p t; helped
t ˈ eɪ k s; takes
h ˈ aʊ s ə z; houses
ð ɛ m s ˈ ɛ l v z; themselves
f ˈ ɔ ɹ m z; form's forms
s ˈ i z ə n z; season's seasons
ˈ eɪ n t͡ʃ ə n t; ancient
t ɹ ˈ u p s; troop's troops troops' troupe's troupes
b ɪ l ˈ i v d; believed
ɪ l ˈ ɛ k ʃ ə n z; election's elections
p ɹ i z ˈ ɛ n t ɪ d; presented
ˈ ɔ f ɝ d; offered
t ɹ ˈ eɪ n; train trane
k ə m p ˈ oʊ z d; composed
ʃ ˈ ɑ t; schaadt schott shot shott szot szott
k ˈ ɛ ɹ; caire care kahre kehr
s ˈ ɪ t i z; cities cities' city's
l ˈ ɔ ŋ g ɝ; longer
p ə s ˈ ɪ f ɪ k; pacific
t ɹ ˈ æ k s; track's tracks trax
p ɹ ˈ ɑ d ə k t s; product's products
f ˈ aɪ t; feit fight fite
ˈ ɛ n d͡ʒ ə n ˈ ɪ ɹ ɪ ŋ; engineering
m ˈ eɪ n l i; mainly
t͡ʃ ˈ ɛ ɹ m ə n; chairman
p ɹ ə v ˈ aɪ d z; provides
f ˈ ɛ l oʊ; fellow
b ˈ ɪ ʃ ə p; bishop
p l ˈ ɑ t; plot plott
ɪ k s p ˈ ɪ ɹ i ə n s; experience
s t ˈ ɑ ɹ z; staar's star's starr's starrs stars stars'
p ɹ ˈ ɪ n s; prince
ˈ æ k t ɝ; actor akhtar
d ˈ æ n s; dance
ɪ f ˈ ɛ k t; effect
n ˈ ɪ ɹ l i; nearly
ð ˈ ɛ ɹ f ˌ ɔ ɹ; therefore
k ə n s ˈ ɪ s t s; consists
b ɹ ˈ ɔ d k ˌ æ s t; broadcast
k ˈ æ s t; cast caste kast
s ˈ ɛ p ɝ ˌ eɪ t; separate
w ˈ ɪ n t ɝ; winter wynter
p ɹ ˈ aɪ m; prime
s ˈ eɪ n t; saint
k ˈ æ m p; camp kamp kampe
m ˈ eɪ l; mail maile maille male mayle
ə d m ˈ ɪ n ə s t ɹ ˌ eɪ t ɪ v; administrative
s ˈ ɝ f ə s; searfoss surface
k ˈ æ ɹ i d; carried
ˈ ɪ n f l u ə n s; influence
h ˈ ʌ z b ə n d; husband
s ə b d͡ʒ ˈ ɛ k t; subject
k ɹ ˈ i k; creak creek
b ˈ eɪ s b ˈ ɔ l; baseball
ə s ˈ ɪ s t ə n t; assistant
ɹ ɪ s p ˈ ɑ n s; response
p ɹ ˈ ɑ b l ə m z; problem's problems
ɹ ɪ m ˈ eɪ n ɪ ŋ; remaining
h ˈ ɑ ɹ t; hardt hart harte hartt heart
f ˈ ɪ f θ; fifth
ˈ ɔɪ l; oil
p ɹ ə d ˈ u s ɝ; producer
m ˈ ʌ n θ; month
f ɹ ˈ ɛ n d; friend
d ˈ ʌ n; done donne dun dunn dunne
d͡ʒ ˈ oʊ s ə f; josef joseph
p ɹ ə p ˈ oʊ z d; proposed
s p ˈ eɪ n; spain
b ɹ ˈ æ n t͡ʃ; branch branche
s ˈ ɪ l v ɝ; silver
g ɹ ˈ eɪ t ɝ; grater greater
t ˈ ɝ n d; turned
n ˈ ɪ ɹ b ˈ aɪ; nearby
t͡ʃ ˈ æ m p i ə n; champion
k ˈ ɑ s t; cost kost
p l ˈ æ n z; plan's plans plans'
m ˈ i n ɪ ŋ; meaning
d͡ʒ ˈ u ɪ ʃ; jewish
ə p ˈ ɪ ɹ z; appears
n ˈ eɪ ʃ ə n z; nation's nations nations'
h ˈ ɛ v i; heavy
k ɹ ˈ ɪ t ɪ k ə l; critical
g ˈ ɑ d; god
m ˈ ɪ s t ɝ; mister mr mr.
m ˈ eɪ l z; mail's mails male's males
m ˈ aɪ n ɝ; meiner minar mineer miner minor
ə k w ˈ aɪ ɝ d; acquired
ɹ ˈ ʌ ʃ ə; russia
v j ˈ u; view vue
p ˈ ɛ ɹ ə n t s; parent's parents parents'
d ˌ ɪ s t ɹ ə b j ˈ u ʃ ə n; distribution
m ˈ ʌ l t ə p ə l; multiple
p ˈ oʊ l ə n d; poland
m ˈ aɪ l z; miles myles
g ɹ ˈ æ d͡ʒ u ˌ eɪ t ɪ d; graduated
ə t ˈ ɛ m p t; attempt
s p ɹ ˈ ɪ ŋ; spring
b ˈ ɔ ɹ d ɝ; boarder border
p ɹ ə m ˈ oʊ t ɪ d; promoted
l ˈ u ɪ s; lewis lewis' louis louis'
ɪ n ˈ ʌ f; enough
f ˈ i m ˌ eɪ l z; female's females
t ˈ ɛ ɹ ɪ t ˌ ɔ ɹ i; territory
ə p ˈ ɪ ɹ ə n s ə z; appearances
d ˈ ɪ d͡ʒ ə t ə l; digital
h ˈ ɑ k i; hockey
p ˌ ɑ l ə t ˈ ɪ ʃ ə n; politician
ˈ ɑ ɹ t ə k ə l; article
ɹ i s p ˈ ɑ n s ə b ə l; responsible
h oʊ t ˈ ɛ l; hotel
k ə n s t ɹ ˈ ʌ k t ə d; constructed
k w ˈ i n; queen
t ɹ æ n s p ˈ ɔ ɹ t; transport
k ə n d ˈ ɪ ʃ ə n z; conditions
v ˈ oʊ t; vogt vote
l ˈ ɪ v z; lives
ˈ æ l b ə m z; album's albums
ʃ ˈ ɪ p s; ship's shipp's shipps ships ships'
m ˈ aɪ t; might mite
p ɹ ˈ aɪ z; pries prize
ˌ æ k ə d ˈ ɛ m ɪ k; academic
s p ə s ˈ ɪ f ɪ k; specific
w ˈ ɛ ð ɝ; weather whether
ɹ ˈ ɛ z ɪ d ə n t s; resident's residents residents'
h ˈ aʊ s h ˌ oʊ l d z; household's households
p ɹ ˈ ɑ d͡ʒ ɛ k t s; project's projects
ˈ aɪ s; ice
ɹ ˈ ɛ d͡ʒ ə m ə n t; regiment
k ˈ ɔ ɹ; coar cohr cor core corps corr kohr
ə θ ˈ ɔ ɹ ə t i; authority
j ˈ ɛ t; yet yett
n ˈ ʌ m b ɝ z; number's numbers
h ˈ aʊ z ɪ ŋ; housing
m ˈ æ n ə d͡ʒ d; managed
k ˈ ɑ z; cause coz
f ˈ eɪ s; face
s t ˈ ɔ ɹ i z; stories story's
d ˈ eɪ l i; dailey daily daley daly dayley
l ˈ aɪ z; lies lise
d ɝ ˈ ɛ k t; deregt direct
ˈ æ s k t; asked
s ˈ ɝ v; serv serve
p ɹ aɪ m ˈ ɛ ɹ ə l i; primarily
k ˈ æ m p ə s; campus
l ˈ i v; leave leve
k ˈ ɔ l; call kall kaul
ɝ ˈ aɪ v d; arrived
ˈ ɛ d w ɝ d; eduard edward
ɹ ˈ u l; reul reule rhule ruel rule
b ɹ ˈ ʌ ð ɝ z; brother's brothers brothers'
m ˈ ɪ n ə s t ɹ i; ministry
ˈ ɛ l ə m ə n t s; elements
t ˈ aʊ ɝ; tauer tower
m ˈ eɪ k s; makes
d ɪ s k ˈ ʌ v ɝ d; discovered
k ə m p j ˈ u t ɝ; computer
m ˈ æ s t ɝ; master
f ə s ˈ ɪ l ə t i z; facilities
ˌ ɪ n s ˈ aɪ d; inside
ɪ k s t ˈ ɛ n d ə d; extended
k ˌ ɛ ɹ ə l ˈ aɪ n ə; carolina karolina
t ˈ oʊ l d; told tolled
ɹ ˈ ʌ g b i; rugby
ɹ ɪ s ˈ ɛ p ʃ ə n; reception
h ˈ oʊ l; hoel hoell hoelle hohl hole whole
m ˈ i d i ə n; median
d ˈ ʌ t͡ʃ; duch dutch
k ˈ ʌ v ɝ d; covered
ə l ˈ aʊ; allow
d͡ʒ ˈ ɝ n ə l; journal
f ˈ ɪ z ɪ k ə l; physical
m ˈ ɑ ɹ t ə n; marten martin marton
m ˈ eɪ ɝ; maier mayer mayher mayor
l ˈ ɛ v ə l z; level's levels
w ˈ ɔ n t ɪ d; wanted
d ɝ ˈ ɛ k t l i; directly
d ɪ s k ɹ ˈ ɪ p ʃ ə n; description
f ˈ ʌ ŋ k ʃ ə n; function
n ˈ u z p ˌ eɪ p ɝ; newspaper
p ˈ æ s; pass
ɪ s t ˈ eɪ t; estate
ˈ ɪ ʃ u d; issued
ˈ ɔ f ə s ɝ z; officers
v ˈ æ l j u; valu value
l ˈ æ t ə n; latin laton
l ˈ æ t ɝ; latter
l ˈ ɪ t ɝ ə t͡ʃ ɝ; literature
k ə n t ˈ ɛ m p ɝ ˌ ɛ ɹ i; contemporary
ɹ ˈ i s ə n t l i; recently
s ˈ ɛ k ə n d ˌ ɛ ɹ i; secondary
g ɹ ˈ oʊ θ; growth
s p ˈ i d; speed
g l ˈ oʊ b ə l; global
f l ˈ aɪ t; flight
d ɹ ˈ ɑ m ə; drama
d ɪ f ˈ ɛ n s; defence defense
w ˈ ɝ d z; word's words words'
b ɹ ˈ ɪ t ə n; britain briton brittain brittan britten britton
k ə m ˈ æ n d ɝ; commander
aɪ d ˈ i ə; idea
ɹ ˈ eɪ s ə z; races
ʃ ˈ ɔ ɹ t l i; shortly
m ɝ ˈ i n; marine
f ˈ ɔ ɹ m ɝ l i; formerly
f ɔ ɹ m ˈ eɪ ʃ ə n; formation
t ɹ æ n s f ˈ ɝ d; transfered transferred
ˌ ɪ m ˈ i d ˌ i ə t l i; immediately
h ˈ aɪ l i; highley highly
l ˈ eɪ b ə l; label laible
l ˈ aɪ k l i; likely
s ˈ eɪ ɪ ŋ; saying
s ˈ ɛ n ə t; senate sennet sennott
p ɹ ˈ ɑ m ə n ə n t; prominent
ɹ ɪ p ˈ ʌ b l ɪ k ə n; republican
w ˈ ɔ l; wahle wal wall walle
ə f ˈ ɪ ʃ ə l i; officially
ˈ ɝ θ; earth
k ˌ ɔ ɹ p ɝ ˈ eɪ ʃ ə n; corporation
ɹ ˈ ɛ f ɝ ə n s ɪ z; references
p ɝ s ˈ ɛ n t; percent
t ˈ ɪ p ɪ k l i; typically
d ˈ ɛ d; dead
s ˈ ɛ t ə l m ə n t; settlement
b ˈ i t͡ʃ; beach beech
s k ˈ ɑ t l ə n d; scotland
ɪ f ˈ ɛ k t s; effects
ˈ ɔ n l ˌ aɪ n; on-line online
p ˈ i s; peace piece
ɹ ɪ z ˈ ɝ v; reserve
s ˈ oʊ l d͡ʒ ɝ z; soldier's soldiers soldiers'
ə g ɹ ˈ i m ə n t; agreement
ɹ i n ˈ eɪ m d; renamed
t ɹ ˈ i t m ə n t; treatment
s ˈ ɔ ɹ s ə z; sources sources'
v ˈ ɔɪ s; voice
p ɹ ə d ˈ u s; produce
m ˈ u v ɪ ŋ; moving
n ˈ eɪ v ə l; naval navel
d ˈ ɑ ɹ k; dark darke
p ɑ ɹ t ˈ ɪ s ə p ˌ eɪ t ɪ d; participated
w ˈ ɝ k ɝ z; worker's workers workers'
ˌ ɪ n ˈ ɪ ʃ ə l; initial
ˈ ɝ b ə n; urban
s m ˈ ɔ l ɝ; smaller
h ˈ ɑ t; hot hott
k ˈ oʊ d; coad code
h ˈ oʊ s t; host
ə p ˈ ɪ ɹ; appear
k w ˈ ɪ k l i; quickly
ˈ ɛ m p ɝ ɝ; emperor
k ˈ ɑ m ə n l i; commonly
ˌ ɪ n d ˈ ʌ s t ɹ i ə l; industrial
g ɹ ˈ u; grew grewe grue
j ˈ ɔ ɹ; yore your
k ˈ æ n d ə d eɪ t; candidate
t ˈ aɪ p s; types
k w ˈ ɑ l ə t i; quality
ˈ eɪ ʒ ə n; asian
p ˈ eɪ p ɝ; paper
ɹ ˈ eɪ s ɪ ŋ; racing
ˈ æ v ə n ˌ u; avenue
l ˈ æ k; lac lack lak
d ɪ v ˈ aɪ d ɪ d; divided
k ə n t ˈ ɪ n j u; continue
b ˈ eɪ s ə s; basis
l ˈ i; lea lee leigh li
b ˈ ɑ s t ə n; boston
oʊ h ˈ aɪ oʊ; ohio
w ˈ ɪ ŋ; wing
k l ˈ ʌ b z; club's clubs
l ˈ i d ɝ ʃ ˌ ɪ p; leadership
p ɹ ˈ ɑ b ə b l ˌ i; probably
ˈ ɛ d ə t ɝ; editor
p ˈ u ɹ; poor poore
k ˈ ʌ m z; comes
ə l ˈ ɔ ŋ s ˈ aɪ d; alongside
æ k t ˈ ɪ v ə t i; activity
f ɹ æ n s ˈ ɪ s k oʊ; francisco
d͡ʒ ˈ ɝ z i; jersey jerzy
f ˈ ɔ ɹ m ˌ æ t; format
ˌ ɪ n t ˈ ɛ n d ɪ d; intended
t ɹ ˈ u; treu trew trieu true
p ˈ ɑ l ə t ˌ ɪ k s; politics politics'
ˈ æ l; al al.
m ə m ˈ ɔ ɹ i ə l; memorial
m ˈ ɛ t ə l; metal mettle
d͡ʒ ˈ ʌ d͡ʒ; judge
ə f ˈ ɛ ɹ z; affair's affairs
l ˈ æ ŋ g w ə d͡ʒ ə z; languages
ɹ ˈ u l z; rule's rules
s ˈ ɔ f t w ˌ ɛ ɹ; software
f ˈ ɑ ɹ m; farm
ˈ ɔ ɹ d ɝ d; ordered
k ˈ ʌ t; cut kut
d ˈ ɛ d ə k eɪ t ə d; dedicated
k ə n d ˈ ʌ k t ə d; conducted
ɹ ɪ v ˈ i l d; revealed
f ˈ ɑ l oʊ z; follows
ˈ ɛ f ɝ t s; effertz efforts
ˈ æ k t ɪ ŋ; acting
f ˈ oʊ k ə s; focus
s ˈ u p ɝ; super
k ə m b ˈ aɪ n d; combined
m ˈ ɪ ʃ ɪ g ə n; michigan
ˈ ɑ p ɝ ˌ eɪ t ɪ ŋ; operating
f l ˈ i t; fleet
w ˈ ɪ n ɝ; winner
p l ˈ æ n d; planned
k ə p ˈ æ s ə t i; capacity
ɹ i m ˈ u v d; removed
ˈ ɛ l; ehle el ell elle l l.
s k ˈ ɑ t ɪ ʃ; scottish
m ˈ æ s; mass mass. masse
ˈ ɑ p ɹ ə; opera
s ˌ aɪ ə n t ˈ ɪ f ɪ k; scientific
ˈ ɑ ɹ k ə t ˌ ɛ k t͡ʃ ɝ; architecture
p ɹ ˈ ɪ z ə n; prison
p ˈ ɑ z ə t ɪ v; positive
l ˈ i d ɝ z; leader's leaders leaders'
ɹ ˈ ɛ d͡ʒ ɪ s t ɝ; regester register
ə d v ˈ æ n s t; advanced
g ɹ ˈ eɪ d; grade
k ˈ i p; keep
m ˈ i t; meat meet mete
k ə m j ˈ u n ə t i z; communities
k ə l ˈ ʌ m b i ə; colombia columbia
ˌ ɛ n t ɝ t ˈ eɪ n m ə n t; entertainment
ɪ k w ˈ ɪ p m ə n t; equipment
d͡ʒ ˈ ɑ b; job
p ˈ ɝ t͡ʃ ə s t; purchased
p ə t ˈ ɛ n ʃ ə l; potential
g ˈ ɝ l; girl
ɪ k ˈ ɑ n ə m i; economy
f ˈ i t͡ʃ ɝ ɪ ŋ; featuring
k ɹ ˈ u; crew crewe
ɹ ˈ i t͡ʃ; reach reeche
m ˈ ɛ θ ə d; method
g ˈ ɪ v ɪ ŋ; giving
d ɝ ˈ ɛ k ʃ ə n; direction
d͡ʒ ˈ æ k; jac jack
ɪ n v ˈ aɪ ɹ ə n m ə n t; environment
s ˈ oʊ l ˌ oʊ; solo
ɹ i l ˈ eɪ ʃ ə n z; relations
w ˈ aɪ d l i; widely
d͡ʒ ˈ oʊ n z; joens jones jones'
p ɹ ˈ ɑ d ə k t; product
s k w ˈ ɑ d ɹ ə n; squadron
ˈ ɔ f ɝ z; offer's offers
ˈ eɪ ʒ ə; asia
l ˈ ɛ t ɝ; letter
ˈ ɔ ɹ g ə n ˌ aɪ z d; organized
m ˈ aʊ n t; mount mt
s t ˈ ɔ ɹ; stoehr stohr store storr
ə s ˈ aɪ n d; assigned
s t ˈ ɑ p; stop
ˈ ɪ n f ə n t ɹ i; infantry
n ˈ i d ə d; needed
h ˈ ɛ d k w ˌ ɔ ɹ t ɝ z; headquarters
t ɹ ˈ aɪ ə l; trial
d ɪ s t ɹ ˈ ɔɪ d; destroyed
ə t ˈ ɛ n ʃ ə n; attention
p ɹ ə t ˈ ɛ k ʃ ə n; protection
k ˈ ʌ m ɪ ŋ; coming cumming
